time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
2.39	-2.82231827771429E-4	7.15	-3.21898851142857E-5
2.415	-2.61331295257143E-4	7.125	-3.69230661142857E-5
2.44	-2.38813443142857E-4	7.1	2.99223813428571E-5
2.465	-2.62420670285714E-4	7.075	4.98608641142857E-5
2.49	-1.00695415142857E-4	7.05	3.24803816E-5
2.515	-1.20332502857143E-5	7.025	5.11920425142857E-5
2.54	-1.47639385428571E-4	7	8.19299353142857E-5
2.565	-1.40690283428571E-4	6.975	5.56231848571429E-5
2.59	-1.59577733714286E-4	6.95	8.07891698857143E-5
2.615	-3.43065832857143E-4	6.925	1.31765054514286E-4
2.64	-3.33736522142857E-4	6.9	1.51610589028571E-4
2.665	-2.08029622685714E-4	6.875	1.25403156857143E-4
2.69	-3.459928602E-4	6.85	9.9059976E-5
2.715	-3.96802018685714E-4	6.825	6.46826946285714E-5
2.74	-4.74431513571429E-4	6.8	4.74441964571429E-5
2.765	-6.72913188857143E-4	6.775	2.02498677714286E-5
2.79	-6.62915390571429E-4	6.75	7.63151894285714E-5
2.815	-4.35613682857143E-4	6.725	1.02058509714286E-4
2.84	-5.732865636E-4	6.7	1.14326494857143E-4
2.865	-6.56060724228571E-4	6.675	1.18743604657143E-4
2.89	-6.10966008457143E-4	6.65	1.24845909994286E-4
2.915	-6.42805521428571E-4	6.625	5.300443004E-5
2.94	-5.74567030857143E-4	6.6	-1.83953806285714E-6
2.965	-2.65337097428571E-4	6.575	-2.70079624571429E-5
2.99	-2.93174168E-4	6.55	-1.33375036857143E-5
3.015	-3.63286057428571E-4	6.525	1.07907660857143E-5
3.04	-2.04387912857143E-4	6.5	6.68590699428571E-5
3.065	-2.06212959428571E-4	6.475	1.27794882314286E-4
3.09	-3.93545961428571E-4	6.45	1.26456990771429E-4
3.115	-2.92467094571429E-4	6.425	1.22347687485714E-4
3.14	-3.65406406E-4	6.4	8.70899971714286E-5
3.165	-5.20997127142857E-4	6.375	4.99577832E-5
3.19	-4.12646272857143E-4	6.35	3.93047562857143E-6
3.215	-3.29413191657143E-4	6.325	1.12349281142857E-5
3.24	-4.68425580971429E-4	6.3	2.77855581714286E-5
3.265	-3.04931389085714E-4	6.275	5.02516116571428E-5
3.29	-2.51902449714286E-4	6.25	2.86708784571428E-5
3.315	-3.59644648285714E-4	6.225	5.19722285142857E-5
3.34	-2.16506935714286E-4	6.2	1.19839893028571E-4
3.365	-8.15530542857143E-5	6.175	1.77076095428571E-4
3.39	-2.13689398571429E-4	6.15	2.03377376E-4
3.415	-1.19149537142857E-4	6.125	2.14330931657143E-4
3.44	-1.45250801428571E-4	6.1	1.43932543485714E-4
3.465	-4.36212613142857E-4	6.075	6.010665228E-5
3.49	-4.73133751714286E-4	6.05	4.545825784E-5
3.515	-3.56089004857143E-4	6.025	4.91806205142857E-6
3.54	-4.44861057714286E-4	6	-6.21974481714286E-5
3.565	-3.50063448285714E-4	5.975	-8.92526014571428E-5
3.59	-2.12104468571429E-4	5.95	-6.57550218857143E-5
3.615	-1.94584135142857E-4	5.925	-6.14793180571429E-5
3.64	-2.07520756285714E-4	5.9	-2.3780848E-5
3.665	-6.65846235714286E-5	5.875	1.44166161142857E-5
3.69	-8.38610006285714E-5	5.85	7.16194597714286E-5
3.715	-2.62447166028571E-4	5.825	1.19097484114286E-4
3.74	-4.14170976057143E-4	5.8	1.62900439428571E-4
3.765	-5.49339033571429E-4	5.775	1.20409158685714E-4
3.79	-6.86249529714286E-4	5.75	4.51629920571428E-5
3.815	-6.69334218E-4	5.725	-4.12725091428571E-5
3.84	-6.38390251428571E-4	5.7	-1.227840732E-4
3.865	-6.74093282285714E-4	5.675	-9.94927018285714E-5
3.89	-5.13891784E-4	5.65	-4.4883968E-5
3.915	-3.71250883428571E-4	5.625	7.48361174285716E-6
3.94	-3.49806399714286E-4	5.6	7.24547133714286E-5
3.965	-8.79483622857143E-5	5.575	1.41868393171429E-4
3.99	1.33192311428571E-5	5.55	1.42840330857143E-4
4.015	-2.38073865142857E-4	5.525	1.32017363571429E-4
4.04	-4.33306460571428E-4	5.5	1.67208037371429E-4
4.065	-4.59284625714286E-4	5.475	1.47218749971429E-4
4.09	-6.48143081714286E-4	5.45	8.97089680571428E-5
4.115	-4.50486285428571E-4	5.425	9.11556724857143E-5
4.14	-1.77195835714286E-4	5.4	7.82868479714286E-5
4.165	-1.67707277942857E-4	5.375	2.91584641714286E-5
4.19	-2.20711271971429E-4	5.35	3.54542409085714E-5
4.215	2.03723461714286E-5	5.325	1.69128108971429E-5
4.24	-9.76109723714286E-5	5.3	-4.50095352057143E-5
4.265	-3.16187727028571E-4	5.275	-3.96058392571428E-5
4.29	-2.94617819571428E-4	5.25	-1.47387876571429E-5
4.315	-4.40661866285714E-4	5.225	3.29236204857143E-5
4.34	-5.12175798285714E-4	5.2	9.13254478285714E-5
4.365	-1.84123345942857E-4	5.175	1.28695233857143E-4
4.39	2.41767358857142E-5	5.15	1.12648461457143E-4
4.415	-8.68827008E-5	5.125	1.15224717942857E-4
4.44	1.41300477142857E-5	5.1	1.10400416028571E-4
4.465	-5.03454788571429E-5	5.075	1.10239152685714E-4
4.49	-3.44045568171429E-4	5.05	9.18601922E-5
4.515	-3.32106517371429E-4	5.025	7.34743285428572E-5
4.54	-2.34916648457143E-4	5	5.25656590857143E-5
4.565	-2.20230808571429E-4	4.975	5.88987571142857E-5
4.59	-2.37088294285714E-4	4.95	9.52000081142857E-5
4.615	-1.65346940428571E-4	4.925	1.09342248228571E-4
4.64	-4.43933191314286E-4	4.9	1.18470586114286E-4
4.665	-4.44233604085714E-4	4.875	8.68386662571429E-5
4.69	-3.81414613885714E-4	4.85	4.31194110857143E-5
4.715	-4.25642182714286E-4	4.825	-2.50767925428571E-5
4.74	-5.16485143428571E-4	4.8	-3.88948373428571E-5
4.765	-4.43645998714286E-4	4.775	-3.90140621142857E-5
4.79	-4.75031168E-4	4.75	2.4419079E-5
4.815	-4.72084516428571E-4	4.725	5.86179975714286E-5
4.84	-2.82031461428571E-4	4.7	7.39371337142857E-5
4.865	-4.50029491285714E-4	4.675	4.26509990571429E-5
4.89	-6.17771162285714E-4	4.65	-4.72866352285714E-5
4.915	-5.98346487571429E-4	4.625	-9.05204398571429E-5
4.94	-5.53207102171428E-4	4.6	-1.02861144342857E-4
4.965	-5.16774734085714E-4	4.575	-9.53751138571428E-5
4.99	-2.59445937028571E-4	4.55	-7.10821013028572E-5
5.015	-1.57897511428571E-4	4.525	-1.36234346228571E-5
5.04	-1.90590892685714E-4	4.5	2.99447182971429E-5
5.065	-6.58135133428571E-5	4.475	8.83522034E-5
5.09	-9.53798978285714E-5	4.45	1.35594849971429E-4
5.115	-1.82003116714286E-4	4.425	1.49888250657143E-4
5.14	-2.39401690857143E-4	4.4	1.08421859051429E-4
5.165	-2.27123686E-4	4.375	4.39288740971428E-5
5.19	-4.90297856857143E-4	4.35	2.11954717371428E-5
5.215	-4.75436929714286E-4	4.325	2.00681965428571E-5
5.24	-4.64499011714286E-4	4.3	2.06989806285714E-5
5.265	-5.11840460857143E-4	4.275	2.47783657714286E-5
5.29	-3.68310736857143E-4	4.25	3.60447538285714E-5
5.315	-6.32224354285714E-5	4.225	1.07160571428564E-7
5.34	-1.01838699714286E-4	4.2	3.50855685714285E-6
5.365	-3.71189042857143E-5	4.175	-8.03029971428572E-6
5.39	5.20159138285715E-5	4.15	1.47277371428572E-5
5.415	-9.87097265142857E-5	4.125	6.36044028571428E-5
5.44	-2.07329645314286E-4	4.1	1.31241184571429E-4
5.465	-1.01380391428571E-4	4.075	1.79046516285714E-4
5.49	-1.65234810285714E-4	4.05	2.10762671714286E-4
5.515	-2.14853998E-4	4.025	1.623805114E-4
5.54	9.86070437142857E-5	4	1.40321358342857E-4
5.565	2.51552222571428E-4	3.975	1.22860573971429E-4
5.59	2.28063744E-4	3.95	6.24999208E-5
5.615	2.94733562571428E-4	3.925	2.38334899714286E-5
5.64	1.53047443714286E-4	3.9	2.12020191428572E-5
5.665	-1.31278082E-4	3.875	2.56396618857143E-5
5.69	-7.79890617142857E-5	3.85	3.48865129142857E-5
5.715	-1.19343272285714E-4	3.825	8.07583948571428E-5
5.74	-3.34383027142857E-4	3.8	8.79669142857143E-5
5.765	-2.74222996857143E-4	3.775	9.79550849142857E-5
5.79	-3.18750341714286E-4	3.75	1.06801414314286E-4
5.815	-4.45699371142857E-4	3.725	1.35163743028571E-4
5.84	-4.21589695142857E-4	3.7	1.58306184485714E-4
5.865	-3.26370793714286E-4	3.675	1.48931477114286E-4
5.89	-4.22361629714286E-4	3.65	1.01243202E-4
5.915	-2.61180943142857E-4	3.625	6.72226632E-5
5.94	-9.00797345714285E-5	3.6	1.20248458857143E-5
5.965	-2.04104144571429E-4	3.575	-4.94723468571429E-5
5.99	-3.45282726285714E-4	3.55	-5.04088227428571E-5
6.015	-4.48625616857143E-4	3.525	-6.94791774E-5
6.04	-6.19282729714286E-4	3.5	-9.36736651714286E-5
