#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
4.4	-1.93456887857143E-4	4.55	-1.44809669714286E-4
4.425	-1.09657825485714E-4	4.575	-7.42267599142857E-5
4.45	-7.12555926E-5	4.6	-3.55921250285714E-5
4.475	-1.415443752E-4	4.625	-1.34286610285714E-5
4.5	-3.02741160714286E-4	4.65	-2.74800405428571E-5
4.525	-2.76268290285714E-4	4.675	-5.16010892E-5
4.55	-3.07484524857143E-4	4.7	-2.06013675142857E-5
4.575	-4.00362159142857E-4	4.725	-3.38249804857143E-5
4.6	-3.65292801142857E-4	4.75	-5.55626701428571E-5
4.625	-4.21815841714286E-4	4.775	-5.45406324285714E-5
4.65	-3.96124907714286E-4	4.8	-1.00168505714286E-5
4.675	-2.74783300285714E-4	4.825	3.88452428571408E-7
4.7	-3.66691099428571E-4	4.85	7.89399482285714E-5
4.725	-4.10370350857143E-4	4.875	7.2853863142857E-6
4.75	-2.91507367285714E-4	4.9	-6.28913446E-5
4.775	-2.15289636971429E-4	4.925	-1.48452006057143E-4
4.8	-1.28776472885714E-4	4.95	-1.77784434771429E-4
4.825	1.14058302685714E-4	4.975	-1.52219847114286E-4
4.85	1.01111986885714E-4	5	9.45399048571427E-6
4.875	1.4546151E-4	5.025	1.01906863457143E-4
4.9	2.68917068857143E-4	5.05	1.371052792E-4
4.925	4.26675110857143E-4	5.075	9.57841624285714E-5
4.95	3.0192712E-4	5.1	1.24712011428571E-5
4.975	3.04745274571429E-4	5.125	-9.96765314857143E-5
5	2.17107695428571E-4	5.15	-8.81098790285714E-5
5.025	6.63209371428578E-7	5.175	-3.56449466285714E-5
5.05	-8.25048890285714E-5	5.2	2.81937037714286E-5
5.075	-2.92680229142857E-5	5.225	6.04558758857143E-5
5.1	-7.14216945714286E-5	5.25	8.21279170285714E-5
5.125	-4.55485417142857E-5	5.275	6.89343230857143E-5
5.15	2.45406542857142E-6	5.3	1.05616806342857E-4
5.175	-1.04855629714286E-5	5.325	1.10885728171429E-4
5.2	6.26073879999999E-6	5.35	1.52197580571429E-4
5.225	-6.59194451428572E-6	5.375	1.20777071714286E-4
5.25	-1.35444408057143E-4	5.4	2.87061488571429E-5
5.275	-1.11479321257143E-4	5.425	-3.34592414285714E-5
5.3	-1.10146809142857E-4	5.45	-1.26921071428571E-5
5.325	-1.00542382285714E-4	5.475	3.77581422857143E-5
5.35	1.29487968571429E-5	5.5	6.66525045714286E-5
5.375	9.32101157142857E-5	5.525	6.49536801428571E-5
5.4	2.2041596E-5	5.55	9.63248657142851E-7
5.425	4.80808187142857E-5	5.575	-6.69640879714286E-5
5.45	1.86533292857143E-4	5.6	-8.95062061714286E-5
5.475	1.10553571571429E-4	5.625	-1.07144073342857E-4
5.5	-4.54919885714286E-5	5.65	-1.27139825771429E-4
5.525	-1.73919624142857E-4	5.675	-1.02102024314286E-4
5.55	-3.12531148E-4	5.7	-4.42374090571428E-5
5.575	-4.1107139E-4	5.725	1.96188775142857E-5
5.6	-1.18787678857143E-4	5.75	6.03121982285714E-5
5.625	-2.02806782857143E-5	5.775	3.55620171142857E-5
5.65	2.99977105714286E-5	5.8	2.44259500571429E-5
5.675	9.73791391428571E-5	5.825	-7.27113771428573E-7
5.7	6.69527282857143E-5	5.85	-4.6367352E-5
5.725	-5.49362222857143E-5	5.875	-7.78878014857143E-5
5.75	1.88829963142857E-4	5.9	-1.50039041542857E-4
5.775	2.48441464285714E-4	5.925	-2.31812888E-4
5.8	2.47116848571429E-4	5.95	-2.64887595428571E-4
5.825	2.79786623714286E-4	5.975	-2.64436880285714E-4
5.85	2.33147451714286E-4	6	-2.75128378571429E-4
5.875	1.20799823428571E-4	6.025	-2.16396624714286E-4
5.9	2.03334076857143E-4	6.05	-1.675519386E-4
5.925	3.09637885428571E-4	6.075	-1.34826937E-4
5.95	2.56317934285714E-4	6.1	-8.08882702E-5
